Flare,Energia (erg),Transito
1,3.4794118452894164e+33,False
2,2.155833224551901e+33,False
3,1.3829863790013276e+33,False
4,1.4482765958377946e+33,False
5,2.715501832042053e+32,False
7,3.2396125764797213e+32,False
8,5.159608475121414e+32,False
9,3.381273488357812e+32,False
10,9.713768531428189e+32,False
11,2.5849616006477008e+32,False
12,3.912050738071345e+32,False
13,7.396334704861078e+32,False
14,5.793902510489263e+32,False
15,9.977556335235232e+32,False
16,1.0739037938394818e+33,False
17,8.41399307653738e+32,False
18,1.2745821482866931e+33,False
19,5.336595181425493e+32,False
20,6.347514299176125e+32,False
21,7.062890155011613e+32,False
23,8.494465077707669e+33,False
24,1.4542712952512019e+34,False
25,6.92893921477061e+32,False
26,7.60838727922157e+32,False
27,1.2284120515994172e+34,False
28,6.789277300267717e+33,False
29,3.334958212176121e+33,False
30,4.976951681975868e+32,False
31,1.2904124757845751e+33,False
32,2.486110764392128e+32,False
33,5.459159143474387e+32,True
34,4.571110317959903e+32,False
35,3.5584855030809585e+32,False
36,3.373166019892901e+32,False
37,1.779037636624373e+33,False
38,4.98218663443556e+32,False
39,6.785744692140127e+33,False
40,-1.9095283245361086e+32,True
