Inicio,Fim
3883.2442,3883.345883
3884.7566,3884.883010
3885.0287,3885.0971
3885.5509,3885.6272
3885.7381,3885.7582
3886.152646,3886.152646 #transito au mic b 
3887.2620,3887.2848
3888.085943,3888.115364
3888.7881,3888.8167
3889.1816,3889.2616
3889.3220,3889.3625
3889.834223,3889.855658
3890.329763,3890.370525
3891.1704,3891.2162
3891.014768,3891.078405
3891.7410,3891.794931
3891.844463,3891.908875
3891.9498,3892.011781
3892.631306,3892.6918
3892.816194,3892.8832
3893.021329,3893.0496
3893.4057,3893.456513
3893.5872,3893.6609
3896.690432,3896.855682
3897.5662,3897.7927
3899.1552,3899.1821
3899.5441,3899.5851
3900.250936,3900.353485
3900.681641,3900.775986
3900.878535,3900.960574
3902.092360,3902.152874
3902.4192,3902.623020
3902.8828,3902.913830
3903.027774,3903.295471 #transito au mic b
3903.551705,3903.606396
3903.7551,3903.791376
3903.804405,3903.839151
3904.511363,3904.614362
3904.781474,3904.845586
3905.342421,3905.488449
3907.027884,3907.129613 #transito au mic c
