t_ini,t_fim
3883.239461,3883.334868
3884.751868,3884.843937
3885.024950,3885.109542
3885.549959,3885.617899
3886.130183,3886.411659
3888.081298,3888.115210
3888.784350,3888.805991
3889.179949,3889.251286
3889.826802,3889.854535
3891.013277,3891.076262
3891.741181,3891.795356
3891.844004,3891.908792
3891.950028,3892.001562
3892.631057,3892.697367
3892.812488,3892.900441
3893.017865,3893.101673
3893.403291,3893.458281
3896.687407,3896.849926
3897.567644,3897.779646
3899.153300,3899.218797
3899.542373,3899.616046
3900.6649,3900.7484
3900.9067,3900.4080
3904.512267,3904.614076
3904.782061,3904.847219
3905.340994,3905.482584
