# tempo_BTJD  fluxo
3883.00678689  1.03725982
3883.00817579  1.03780079
3883.00956469  1.03724921
3883.01095359  1.03719687
3883.01234249  1.03741121
3883.01373139  1.03749204
3883.01512028  1.03728211
3883.01650918  1.03787601
3883.01789808  1.03770483
3883.01928698  1.03727853
3883.02067588  1.03781652
3883.02206478  1.03783178
3883.02345368  1.03845334
3883.02484257  1.03815055
3883.02623147  1.03802598
3883.02762037  1.03825355
3883.02900927  1.03776574
3883.03039817  1.03812087
3883.03178707  1.03801000
3883.03317597  1.03836393
3883.03456486  1.03772724
3883.03595376  1.03795004
3883.03734266  1.03792667
3883.03873156  1.03817761
3883.04012046  1.03845787
3883.04150936  1.03865337
3883.04289825  1.03888547
3883.04428715  1.03930581
3883.04567605  1.03822637
3883.04706495  1.03854871
3883.04845385  1.03896487
3883.04984275  1.03907859
3883.05123165  1.03886199
3883.05262054  1.03906560
3883.05400944  1.03914893
3883.05539834  1.03918302
3883.05678724  1.03923118
3883.05817614  1.03920233
3883.05956504  1.03924060
3883.06095393  1.03984833
3883.06234283  1.03941929
3883.06373173  1.03982675
3883.06512063  1.03930271
3883.06650953  1.03948140
3883.06789843  1.03950918
3883.06928733  1.03966355
3883.07067622  1.03929806
3883.07206512  1.03974771
3883.07345402  1.03971708
3883.07484292  1.03997743
3883.07623182  1.04016352
3883.07762072  1.04041302
3883.07900961  1.04038560
3883.08039851  1.04028082
3883.08178741  1.04001880
3883.08317631  1.04013383
3883.08456521  1.04072320
3883.08595411  1.04076183
3883.08734301  1.04057384
3883.08873190  1.04067206
3883.09012080  1.04094970
3883.09150970  1.04074681
3883.09289860  1.04091132
3883.09428750  1.04113233
3883.09567640  1.04122972
3883.09706529  1.04107583
3883.09845419  1.04144907
3883.09984309  1.04094696
3883.10123199  1.04148865
3883.10262089  1.04123211
3883.10400979  1.04187310
3883.10539868  1.04143584
3883.10678758  1.04129422
3883.10817648  1.04168940
3883.10956538  1.04210222
3883.11095428  1.04183006
3883.11234318  1.04088676
3883.11373207  1.04114985
3883.11512097  1.04175901
3883.11650987  1.04168320
3883.11789877  1.04224181
3883.11928767  1.04176104
3883.12067657  1.04231787
3883.12206546  1.04136360
3883.12345436  1.04190171
3883.12484326  1.04189861
3883.12623216  1.04221499
3883.12762106  1.04211497
3883.12900996  1.04251373
3883.13039885  1.04207122
3883.13178775  1.04194808
3883.13317665  1.04191399
3883.13456555  1.04229701
3883.13595445  1.04241550
3883.13734335  1.04283392
3883.13873225  1.04248559
3883.14012114  1.04272759
3883.14151004  1.04243660
3883.14289894  1.04330730
3883.14428784  1.04278147
3883.14567674  1.04327381
3883.14706563  1.04275846
3883.14845453  1.04295480
3883.14984343  1.04335141
3883.15123233  1.04298151
3883.15262123  1.04369867
3883.15401013  1.04328871
3883.15539902  1.04382586
3883.15678792  1.04368234
3883.15817682  1.04334223
3883.15956572  1.04408109
3883.16095462  1.04401386
3883.16234352  1.04327548
3883.16373241  1.04454291
3883.16512131  1.04335117
3883.16651021  1.04393983
3883.16789911  1.04368663
3883.16928801  1.04413688
3883.17067691  1.04368055
3883.17206580  1.04322183
3883.17345470  1.04380214
3883.17484360  1.04416549
3883.17623250  1.04369199
3883.17762140  1.04408348
3883.17901030  1.04406536
3883.18039919  1.04355335
3883.18178809  1.04364502
3883.18317699  1.04450202
3883.18456589  1.04463935
3883.18595479  1.04462433
3883.18734368  1.04460108
3883.18873258  1.04534054
3883.19012148  1.04482329
3883.19151038  1.04482734
3883.19289928  1.04441226
3883.19428818  1.04480183
3883.19567707  1.04521585
3883.19706597  1.04572070
3883.19845487  1.04542339
3883.19984377  1.04559314
3883.20123267  1.04536247
3883.20262156  1.04519570
3883.20401046  1.04582930
3883.20539936  1.04532146
3883.20678826  1.04514575
3883.20817716  1.04535258
3883.20956606  1.04524481
3883.21095495  1.04567504
3883.21234385  1.04545557
3883.21373275  1.04570091
3883.21512165  1.04560888
3883.21651055  1.04545546
3883.21789944  1.04561019
3883.21928834  1.04567456
3883.22067724  1.04639292
3883.22206614  1.04596531
3883.22345504  1.04635262
3883.22484394  1.04599810
3883.22623283  1.04630971
3883.22762173  1.04587030
3883.22901063  1.04598856
3883.23039953  1.04602802
3883.23178843  1.04656672
3883.23317732  1.04644501
3883.23456622  1.04593086
3883.23595512  1.04611456
3883.23734402  1.04640281
3883.23873292  1.04623628
3883.24012181  1.04547238
3883.24151071  1.04639578
3883.24289961  1.04633605
3883.24428851  1.04645658
3883.24567741  1.07068884
3883.24706631  1.08025920
3883.24845520  1.07125437
3883.24984410  1.06342816
3883.25123300  1.05839980
3883.25262190  1.05485165
3883.25401080  1.05365920
3883.25539969  1.05278039
3883.25678859  1.05247664
3883.25817749  1.05131054
3883.25956639  1.05097365
3883.26095529  1.05100572
3883.26234418  1.05031633
3883.26373308  1.05032730
3883.26512198  1.05007815
3883.26651088  1.04981053
3883.26789978  1.05039537
3883.26928867  1.05026114
3883.27067757  1.05037808
3883.27206647  1.04981363
3883.27345537  1.04898119
3883.27484427  1.04924798
3883.27623316  1.04885566
3883.27762206  1.04926324
3883.27901096  1.04937828
3883.28039986  1.04902482
3883.28178876  1.04965508
3883.28317765  1.04956567
3883.28456655  1.04962301
3883.28595545  1.04975176
3883.28734435  1.04949045
3883.28873325  1.04887450
3883.29012214  1.04905057
3883.29151104  1.04887795
3883.29289994  1.04857385
3883.29428884  1.04875147
3883.29567774  1.04857993
3883.29706663  1.04860771
3883.29845553  1.04883492
3883.29984443  1.04862678
3883.30123333  1.04825890
3883.30262223  1.04867995
3883.30401112  1.04850471
3883.30540002  1.04817212
3883.30678892  1.04875016
3883.30817782  1.04862452
3883.30956672  1.04883039
3883.31095561  1.04888690
3883.31234451  1.04908907
3883.31373341  1.04857481
3883.31512231  1.04934716
3883.31651121  1.04889953
3883.31790010  1.04912782
3883.31928900  1.04867482
3883.32067790  1.04820967
3883.32206680  1.04855323
3883.32345569  1.04919577
3883.32484459  1.04877198
3883.32623349  1.04868722
3883.32762239  1.04798782
3883.32901129  1.04867136
3883.33040018  1.04977071
3883.33178908  1.04855454
3883.33317798  1.04846871
3883.33456688  1.04871893
3883.33595578  1.04867005
3883.33734467  1.04918408
3883.33873357  1.04930508
3883.34012247  1.04866743
3883.34151137  1.04867446
3883.34290026  1.04880440
3883.34428916  1.04897940
3883.34567806  1.04870701
3883.34706696  1.04891443
3883.34845586  1.04946458
3883.34984475  1.04960561
3883.35123365  1.04891145
3883.35262255  1.04907691
3883.35401145  1.04961872
3883.35540035  1.04926944
3883.35678924  1.04865563
3883.35817814  1.04919374
3883.35956704  1.04889977
3883.36095594  1.04889572
3883.36234483  1.04934955
3883.36373373  1.04869080
3883.36512263  1.04933977
3883.36651153  1.04922426
3883.36790043  1.04962325
3883.36928932  1.04924428
3883.37067822  1.04890013
3883.37206712  1.04927015
3883.37345602  1.04945254
3883.37484491  1.04932702
3883.37623381  1.04921424
3883.37762271  1.04932225
3883.37901161  1.04937232
3883.38040051  1.04922771
3883.38178940  1.04939461
3883.38317830  1.04881835
3883.38456720  1.04954708
3883.38595610  1.04899359
3883.38734499  1.04920113
3883.38873389  1.04951155
3883.39012279  1.04960954
3883.39151169  1.04925752
3883.39290058  1.04930079
3883.39428948  1.04924965
3883.39567838  1.04943907
3883.39706728  1.04924226
3883.39845618  1.04971635
3883.39984507  1.04910004
3883.40123397  1.04915476
3883.40262287  1.04926503
3883.40401177  1.04974794
3883.40540066  1.04912245
3883.40678956  1.04951251
3883.40817846  1.04887033
3883.40956736  1.04903495
3883.41095625  1.04883707
3883.41234515  1.04934418
3883.41373405  1.04970181
3883.41512295  1.04930091
3883.41651184  1.04939699
3883.41790074  1.04951584
3883.41928964  1.05041087
3883.42067854  1.05007684
3883.42206744  1.04914320
3883.42345633  1.04921663
3883.42484523  1.04995143
3883.42623413  1.04949737
3883.42762303  1.05001307
3883.42901192  1.04984617
3883.43040082  1.04956031
3883.43178972  1.04993594
3883.43317862  1.04987669
3883.43456751  1.05024767
3883.43595641  1.04976404
3883.43734531  1.05012608
3883.43873421  1.04985487
3883.44012310  1.04995120
3883.44151200  1.04958916
3883.44290090  1.04988217
3883.44428980  1.04955602
3883.44567869  1.04982948
3883.44706759  1.04975712
3883.44845649  1.04982543
3883.44984539  1.05006111
3883.45123428  1.05045271
3883.45262318  1.05050671
3883.45401208  1.05050623
3883.45540098  1.05130398
3883.45678987  1.05007553
3883.45817877  1.05003989
3883.45956767  1.05021286
3883.46095657  1.05058229
3883.46234546  1.05027115
3883.46373436  1.05003548
3883.46512326  1.05073071
3883.46651216  1.05018067
3883.46790105  1.05061662
3883.46928995  1.05047202
3883.47067885  1.05026317
3883.47206775  1.05026531
3883.47345664  1.05002904
3883.47484554  1.05042756
3883.47623444  1.04996753
3883.47762334  1.05009830
3883.47901223  1.05014670
3883.48040113  1.05009091
3883.48179003  1.05037868
3883.48317893  1.04923165
3883.48456782  1.05072165
3883.48595672  1.05027282
3883.48734562  1.04957807
3883.48873452  1.05023587
3883.49012341  1.04976797
3883.49151231  1.04982996
3883.49290121  1.05015314
3883.49429011  1.05003965
3883.49567900  1.05016136
3883.49706790  1.04978704
3883.49845680  1.05006444
3883.49984569  1.05013025
3883.50123459  1.04987657
3883.50262349  1.05072641
3883.50401239  1.05013382
3883.50540128  1.05016685
3883.50679018  1.05027890
3883.50817908  1.05032766
3883.50956798  1.05034530
3883.51095687  1.04963684
3883.51234577  1.05017376
3883.51373467  1.05044842
3883.51512357  1.05005646
3883.51651246  1.05024648
3883.51790136  1.05064023
3883.51929026  1.05032563
3883.52067916  1.04984713
3883.52206805  1.05025375
3883.52345695  1.05015993
3883.52484585  1.05082357
3883.52623474  1.05119705
3883.52762364  1.05029774
3883.52901254  1.05042887
3883.53040144  1.05103755
3883.53179033  1.05032253
3883.53317923  1.05090976
3883.53456813  1.05036569
3883.53595703  1.05060327
3883.53734592  1.04998779
3883.53873482  1.05014157
3883.54012372  1.05007660
3883.54151261  1.05043089
3883.54290151  1.04996550
3883.54429041  1.05022669
3883.54567931  1.05033779
3883.54706820  1.05040944
3883.54845710  1.05004764
3883.54984600  1.05001283
3883.55123489  1.04915750
3883.55262379  1.04988468
3883.55401269  1.05001330
3883.55540159  1.04960585
3883.55679048  1.04926717
3883.55817938  1.04956722
3883.55956828  1.04955876
3883.56095717  1.04974711
3883.56234607  1.04944789
3883.56373497  1.04935193
3883.56512387  1.04973400
3883.56651276  1.04963720
3883.56790166  1.04952812
3883.56929056  1.04956174
3883.57067945  1.05067122
3883.57206835  1.04966223
3883.57345725  1.05052233
3883.57484615  1.05023396
3883.57623504  1.05020702
3883.57762394  1.05024898
3883.57901284  1.04988742
3883.58040173  1.05034399
3883.58179063  1.04906845
3883.58317953  1.04965675
3883.58456843  1.04969203
3883.58595732  1.04977703
3883.58734622  1.04971313
3883.58873512  1.04978824
3883.59012401  1.04904413
3883.59151291  1.04994702
3883.59290181  1.04950011
3883.59429071  1.04967129
3883.59567960  1.04919875
3883.59706850  1.04934800
3883.59845740  1.04932404
3883.59984629  1.04845917
3883.60123519  1.04908907
3883.60262409  1.04916322
3883.60401299  1.04883504
3883.60540188  1.04961455
3883.60679078  1.04976487
3883.60817968  1.04944158
3883.60956857  1.04958093
3883.61095747  1.04917037
3883.61234637  1.04922378
3883.61373526  1.04932141
3883.61512416  1.04918098
3883.61651306  1.04931867
3883.61790196  1.04857087
3883.61929085  1.04879534
3883.62067975  1.04891479
3883.62206865  1.04899538
3883.62345754  1.04849482
3883.62484644  1.04906106
3883.62623534  1.04856789
3883.62762423  1.04818034
3883.62901313  1.04799318
3883.63040203  1.04942322
3883.63179092  1.04819691
3883.63317982  1.04876792
3883.63456872  1.04838169
3883.63595762  1.04866242
3883.63734651  1.04898691
3883.63873541  1.04791701
3883.64012431  1.04851532
3883.64151320  1.04841113
3883.64290210  1.04832590
3883.64429100  1.04814792
3883.64567989  1.04783976
3883.64706879  1.04782271
3883.64845769  1.04815984
3883.64984658  1.04822624
3883.65123548  1.04764497
3883.65262438  1.04757297
3883.65401328  1.04813135
3883.65540217  1.04841638
3883.65679107  1.04790986
3883.65817997  1.04758358
3883.65956886  1.04849565
3883.66095776  1.04856825
3883.66234666  1.04756773
3883.66373555  1.04777801
3883.66512445  1.04807222
3883.66651335  1.04755342
3883.66790224  1.04768181
3883.66929114  1.04755735
3883.67068004  1.04755163
3883.67206893  1.04655385
3883.67345783  1.04776812
3883.67484673  1.04794645
3883.67623562  1.04743159
3883.67762452  1.04747951
3883.67901342  1.04771996
3883.68040231  1.04694760
3883.68179121  1.04711914
3883.68318011  1.04735923
3883.68456900  1.04752803
3883.68595790  1.04689133
3883.68734680  1.04739237
3883.68873569  1.04721856
3883.69012459  1.04697633
3883.69151349  1.04703259
3883.69290239  1.04730690
3883.69429128  1.04709780
3883.69568018  1.04621315
3883.69706908  1.04716277
3883.69845797  1.04722166
3883.69984687  1.04674685
3883.70123577  1.04706335
3883.70262466  1.04643083
3883.70401356  1.04680347
3883.70540246  1.04591441
3883.70679135  1.04731250
3883.70818025  1.04572439
3883.70956915  1.04667258
3883.71095804  1.04668009
3883.71234694  1.04561853
3883.71373584  1.04580462
3883.71512473  1.04509580
3883.71651363  1.04610264
3883.71790253  1.04629040
3883.71929142  1.04596317
3883.72068032  1.04621387
3883.72206922  1.04603124
3883.72345811  1.04588389
3883.72484701  1.04565716
3883.72623591  1.04544830
3883.72762480  1.04641354
3883.72901370  1.04535162
3883.73040259  1.04567528
3883.73179149  1.04587126
3883.73318039  1.04518211
3883.73456928  1.04534972
3883.73595818  1.04563105
3883.73734708  1.04485631
3883.73873597  1.04524267
3883.74012487  1.04508126
3883.74151377  1.04558086
3883.74290266  1.04521680
3883.74429156  1.04503870
3883.74568046  1.04502213
3883.74706935  1.04451478
3883.74845825  1.04535484
3883.74984715  1.04480278
3883.75123604  1.04417157
3883.75262494  1.04469645
3883.75401384  1.04436934
3883.75540273  1.04463387
3883.75679163  1.04421747
3883.75818053  1.04426491
3883.75956942  1.04453123
3883.76095832  1.04434335
3883.76234722  1.04445350
3883.76373611  1.04377341
3883.76512501  1.04411650
3883.76651390  1.04399514
3883.76790280  1.04384720
3883.76929170  1.04359472
3883.77068059  1.04344606
3883.77206949  1.04345131
3883.77345839  1.04342401
3883.77484728  1.04335010
3883.77623618  1.04312873
3883.77762508  1.04384601
3883.77901397  1.04346490
3883.78040287  1.04346216
3883.78179177  1.04370677
3883.78318066  1.04274952
3883.78456956  1.04343176
3883.78595845  1.04324269
3883.78734735  1.04298472
3883.78873625  1.04299402
3883.79012514  1.04357171
3883.79151404  1.04283130
3883.79290294  1.04297376
3883.79429183  1.04300356
3883.79568073  1.04315436
3883.79706963  1.04298472
3883.79845852  1.04310775
3883.79984742  1.04287541
3883.80123631  1.04275739
3883.80262521  1.04272592
3883.80401411  1.04235578
3883.80540300  1.04204023
3883.80679190  1.04231691
3883.80818080  1.04227448
3883.80956969  1.04187906
3883.81095859  1.04222643
3883.81234748  1.04245555
3883.81373638  1.04197347
3883.81512528  1.04136896
3883.81651417  1.04197490
3883.81790307  1.04245174
3883.81929197  1.04185677
3883.82068086  1.04206812
3883.82206976  1.04222834
3883.82345865  1.04133332
3883.82484755  1.04225993
3883.82623645  1.04087746
3883.82762534  1.04113090
3883.82901424  1.04121876
3883.83040314  1.04107130
3883.83179203  1.04098225
3883.83318093  1.04111874
3883.83456982  1.04118049
3883.83595872  1.04110265
3883.83734762  1.04068315
3883.83873651  1.04114985
3883.84012541  1.04123175
3883.84151431  1.04066741
3883.84290320  1.04064727
3883.84429210  1.04082394
3883.84568099  1.04037809
3883.84706989  1.04034948
3883.84845879  1.04032183
3883.84984768  1.04025459
3883.85123658  1.03995502
3883.85262547  1.04050577
3883.85401437  1.03999817
3883.85540327  1.04031765
3883.85679216  1.04030192
3883.85818106  1.04046035
3883.85956996  1.04006529
3883.86095885  1.04039109
3883.86234775  1.03962052
3883.86373664  1.04021239
3883.86512554  1.03982127
3883.86651444  1.04007864
3883.86790333  1.03961587
3883.86929223  1.04029834
3883.87068112  1.03940797
3883.87207002  1.03903091
3883.87345892  1.03951240
3883.87484781  1.03891826
3883.87623671  1.03891587
3883.87762560  1.03906131
3883.87901450  1.03883016
3883.88040340  1.03910565
3883.88179229  1.03872490
3883.88318119  1.03888607
3883.88457009  1.03879690
3883.88595898  1.03855181
3883.88734788  1.03882921
3883.88873677  1.03861678
3883.89012567  1.03816056
3883.89151456  1.03796232
3883.89290346  1.03800428
3883.89429236  1.03822815
3883.89568125  1.03767216
3883.89707015  1.03836250
3883.89845905  1.03822935
3883.89984794  1.03839087
3883.90123684  1.03763640
3883.90262573  1.03738427
3883.90401463  1.03741455
3883.90540352  1.03778756
3883.90679242  1.03757703
3883.90818132  1.03718817
3883.90957021  1.03768969
3883.91095911  1.03726161
3883.91234800  1.03747833
3883.91373690  1.03706932
3883.91512580  1.03767657
3883.91651469  1.03662670
3883.91790359  1.03714681
3883.91929248  1.03630877
3883.92068138  1.03653872
3883.92207028  1.03675961
3883.92345917  1.03695488
3883.92484807  1.03607237
3883.92623696  1.03662086
3883.92762586  1.03616762
3883.92901476  1.03604567
3883.93040365  1.03649092
3883.93179255  1.03571141
3883.93318144  1.03634727
3883.93457034  1.03699636
3883.93595923  1.03559113
3883.93734813  1.03608322
3883.93873703  1.03496695
3883.94012592  1.03634965
3883.94151482  1.03559792
3883.94290371  1.03577602
3883.94568151  1.03780401
3883.94707040  1.03646517
3883.94845930  1.03682196
3883.94984819  1.03629863
3883.95123709  1.03645766
3883.95262598  1.03597987
3883.95401488  1.03615808
3883.95540378  1.03596675
3883.95679267  1.03528035
3883.95818157  1.03564060
3883.95957046  1.03501570
3883.96095936  1.03496885
3883.96234825  1.03498900
3883.96373715  1.03407347
3883.96512605  1.03542733
3883.96651494  1.03446889
3883.96790384  1.03440619
3883.96929273  1.03397179
3883.97068163  1.03408194
3883.97207052  1.03377843
3883.97345942  1.03376222
3883.97484832  1.03354931
3883.97623721  1.03411007
3883.97762611  1.03388274
3883.97901500  1.03331411
3883.98040390  1.03376770
3883.98179279  1.03297257
3883.98318169  1.03271282
3883.98457059  1.03262413
3883.98595948  1.03276825
3883.98734838  1.03304803
3883.98873727  1.03241134
3883.99012617  1.03345430
3883.99151506  1.03302705
3883.99290396  1.03342605
3883.99429285  1.03286386
3883.99568175  1.03228366
3883.99707065  1.03158724
3883.99845954  1.03244746
3883.99984844  1.03199136
3884.00123733  1.03183103
3884.00262623  1.03242147
3884.00401512  1.03236556
3884.00540402  1.03141582
3884.00679291  1.03178573
3884.00818181  1.03170764
3884.00957071  1.03165829
3884.01095960  1.03127611
3884.01234850  1.03106821
3884.01373739  1.03108871
3884.01512629  1.03105116
3884.01651518  1.03093350
3884.01790408  1.03112388
3884.01929298  1.03121495
3884.02068187  1.03093958
3884.02207077  1.03049839
3884.02345966  1.03000915
3884.02484856  1.02954161
3884.02623745  1.02970147
3884.02762635  1.03025401
3884.02901524  1.03074634
3884.03040414  1.03049088
3884.03179303  1.02998483
3884.03318193  1.02986503
3884.03457083  1.02901208
3884.03595972  1.02930760
3884.03734862  1.02917504
3884.03873751  1.02912641
3884.04012641  1.02864444
3884.04151530  1.02903616
3884.04290420  1.02863836
3884.04429309  1.02802670
3884.04568199  1.02834344
3884.04707088  1.02860260
3884.04845978  1.02792692
3884.04984868  1.02809203
3884.05123757  1.02819753
3884.05262647  1.02765179
3884.05401536  1.02818990
3884.05540426  1.02792883
3884.05679315  1.02775359
3884.05818205  1.02741265
3884.05957094  1.02767336
3884.06095984  1.02796400
3884.06234873  1.02730143
3884.06373763  1.02697766
3884.06512652  1.02704465
3884.06651542  1.02690721
3884.06790431  1.02653062
3884.06929321  1.02601290
3884.07068211  1.02630496
3884.07207100  1.02608931
3884.07345990  1.02653563
3884.07484879  1.02611625
3884.07623769  1.02606952
3884.07762658  1.02599192
3884.07901548  1.02610767
3884.08040437  1.02529860
3884.08179327  1.02589822
3884.08318216  1.02567053
3884.08457106  1.02577424
3884.08595995  1.02537692
3884.08734885  1.02520049
3884.08873774  1.02441788
3884.09012664  1.02438796
3884.09151553  1.02463746
3884.09290443  1.02447140
3884.09429333  1.02455831
3884.09568222  1.02408576
3884.09707112  1.02443850
3884.09846001  1.02441204
3884.09984891  1.02440214
3884.10123780  1.02429199
3884.10262670  1.02429569
3884.10401559  1.02399242
3884.10540449  1.02379894
3884.10679338  1.02329087
3884.10818228  1.02324593
3884.10957117  1.02385378
3884.11096007  1.02307761
3884.11234896  1.02316427
3884.11373786  1.02389765
3884.11512675  1.02270627
3884.11651565  1.02296126
3884.11790454  1.02227604
3884.11929344  1.02283025
3884.12068233  1.02252984
3884.12207123  1.02268183
3884.12346012  1.02258897
3884.12484902  1.02248776
3884.12623791  1.02265072
3884.12762681  1.02232087
3884.12901570  1.02210677
3884.13040460  1.02189040
3884.13179349  1.02139795
3884.13318239  1.02184987
3884.13457128  1.02138197
3884.13596018  1.02133799
3884.13734907  1.02163422
3884.13873797  1.02145612
3884.14012686  1.02114689
3884.14151576  1.02088666
3884.14290465  1.02032089
3884.14429355  1.02039742
3884.14568245  1.02058399
3884.14707134  1.02055573
3884.14846024  1.02074099
3884.14984913  1.02068257
3884.15123803  1.01966453
3884.15262692  1.01994991
3884.15401582  1.01970637
3884.15540471  1.01978612
3884.15679361  1.01908565
3884.15818250  1.01966667
3884.15957139  1.01925755
3884.16096029  1.01923406
3884.16234918  1.01864111
3884.16373808  1.01957250
3884.16512697  1.01914167
3884.16651587  1.01853275
3884.16790476  1.01847684
3884.16929366  1.01870084
3884.17068255  1.01849508
3884.17207145  1.01833797
3884.17346034  1.01826394
3884.17484924  1.01780188
3884.17623813  1.01756036
3884.17762703  1.01778185
3884.17901592  1.01766038
3884.18040482  1.01807177
3884.18179371  1.01735198
3884.18318261  1.01732659
3884.18457150  1.01738405
3884.18596040  1.01705515
3884.18734929  1.01771688
3884.18873819  1.01857734
3884.19012708  1.01781201
3884.19151598  1.01776433
3884.19290487  1.01721597
3884.19429377  1.01731896
3884.19568266  1.01679850
3884.19707156  1.01630771
3884.19846045  1.01750839
3884.19984935  1.01615441
3884.20123824  1.01642609
3884.20262714  1.01618993
3884.20401603  1.01623011
3884.20540493  1.01564252
3884.20679382  1.01586056
3884.20818272  1.01640379
3884.20957161  1.01653588
3884.21096051  1.01557541
3884.21234940  1.01582742
3884.21373830  1.01559842
3884.21512719  1.01580620
3884.21651608  1.01552188
3884.21790498  1.01575339
3884.21929387  1.01483941
3884.22068277  1.01488090
3884.22207166  1.01456904
3884.22346056  1.01465225
3884.22484945  1.01454031
3884.22623835  1.01447570
3884.22762724  1.01421714
3884.22901614  1.01459670
3884.23040503  1.01496923
3884.23179393  1.01493537
3884.23318282  1.01513278
3884.23457172  1.01484251
3884.23596061  1.01457667
3884.23734951  1.01511407
3884.23873840  1.01401687
3884.24012729  1.01400971
3884.24151619  1.01392150
3884.24290508  1.01292408
3884.24429398  1.01323390
3884.24568287  1.01276731
3884.24707177  1.01351035
3884.24846066  1.01292419
3884.24984956  1.01246881
3884.25123845  1.01224494
3884.25262735  1.01310146
3884.25401624  1.01322234
3884.25540514  1.01212871
3884.25679403  1.01234841
3884.25818293  1.01214707
3884.25957182  1.01165545
3884.26096071  1.01147640
3884.26234961  1.01175356
3884.26373850  1.01115465
3884.26512740  1.01129603
3884.26651629  1.01111639
3884.26790519  1.01101649
3884.26929408  1.01052165
3884.27068298  1.01017368
3884.27207187  1.01019788
3884.27346076  1.01020873
3884.27484966  1.01019788
3884.27623855  1.00952363
3884.27762745  1.00966978
3884.27901634  1.00945258
3884.28040524  1.00986421
3884.28179413  1.00927258
3884.28318303  1.00960660
3884.28457192  1.00947845
3884.28596082  1.00931406
3884.28734971  1.00906587
3884.28873860  1.00856566
3884.29012750  1.00844264
3884.29151639  1.00803351
3884.29290529  1.00903618
3884.29429418  1.00846171
3884.29568308  1.00789964
3884.29707197  1.00843120
3884.29846087  1.00836933
3884.29984976  1.00798595
3884.30123865  1.00694358
3884.30262755  1.00774932
3884.30401644  1.00755358
3884.30540534  1.00750387
3884.30679423  1.00672770
3884.30818313  1.00708747
3884.30957202  1.00660396
3884.31096092  1.00662756
3884.31234981  1.00655961
3884.31373870  1.00576401
3884.31512760  1.00639772
3884.31651649  1.00690949
3884.31790539  1.00608552
3884.31929428  1.00653505
3884.32068318  1.00661588
3884.32207207  1.00597024
3884.32346096  1.00608456
3884.32484986  1.00537086
3884.32623875  1.00597727
3884.32762765  1.00560749
3884.32901654  1.00528479
3884.33040544  1.00544596
3884.33179433  1.00516713
3884.33318323  1.00496054
3884.33457212  1.00442922
3884.33596101  1.00517571
3884.33734991  1.00420094
3884.33873880  1.00485778
3884.34012770  1.00423825
3884.34151659  1.00381792
3884.34290549  1.00434816
3884.34429438  1.00381410
3884.34568327  1.00363767
3884.34707217  1.00359440
3884.34846106  1.00326896
3884.34984996  1.00273120
3884.35123885  1.00348651
3884.35262774  1.00353384
3884.35401664  1.00256824
3884.35540553  1.00327647
3884.35679443  1.00261438
3884.35818332  1.00228322
3884.35957222  1.00340986
3884.36096111  1.00203085
3884.36235000  1.00237954
3884.36373890  1.00168037
3884.36512779  1.00256300
3884.36651669  1.00172639
3884.36790558  1.00151634
3884.36929448  1.00192356
3884.37068337  1.00228059
3884.37207226  1.00137067
3884.37346116  1.00081027
3884.37485005  1.00176406
3884.37623895  1.00135267
3884.37762784  1.00064468
3884.37901673  1.00103736
3884.38040563  1.00084329
3884.38179452  1.00075161
3884.38318342  1.00056469
3884.38457231  1.00004649
3884.38596120  1.00027585
3884.38735010  1.00030088
3884.38873899  0.99972916
3884.39012789  0.99994695
3884.39151678  0.99973613
3884.39290568  1.00004768
3884.39429457  0.99959427
3884.39568346  0.99906898
3884.39707236  1.00005019
3884.39846125  0.99959171
3884.39985015  0.99894834
3884.40123904  0.99891925
3884.40262793  0.99936491
3884.40401683  0.99833602
3884.40540572  0.99860483
3884.40679462  0.99868858
3884.40818351  0.99838448
3884.40957240  0.99822485
3884.41096130  0.99838662
3884.41235019  0.99756074
3884.41373909  0.99737877
3884.41512798  0.99802893
3884.41651687  0.99756074
3884.41790577  0.99749720
