Tempo	Modelo
3887.1512388559	1.0020685196
3887.1526277395	1.0021208525
3887.1540166231	1.0021731853
3887.1554055071	1.0022255182
3887.1567943907	1.0022779703
3887.1581832742	1.0023304224
3887.1595721583	1.0023828745
3887.1609610418	1.0024354458
3887.1623499254	1.0024880171
3887.1637388094	1.0025405884
3887.1651276930	1.0025932789
3887.1665165766	1.0026459694
3887.1679054601	1.0026987791
3887.1692943442	1.0027515888
3887.1706832277	1.0028043985
3887.1720721113	1.0028573275
3887.1734609949	1.0030488968
3887.1748498785	1.0032404661
3887.1762387625	1.0034320354
3887.1776276461	1.0036236048
3887.1790165296	1.0038151741
3887.1804054132	1.0040067434
3887.1817942968	1.0041983128
3887.1831831803	1.0043898821
3887.1845720639	1.0045814514
3887.1859609479	1.0047731400
3887.1873498315	1.0049647093
3887.1887387151	1.0051562786
3887.1901275986	1.0053478479
3887.1915164822	1.0055394173
3887.1929053658	1.0057309866
3887.1942942493	1.0059225559
3887.1956831329	1.0061141253
3887.1970720165	1.0063056946
3887.1984609000	1.0064972639
3887.1998497836	1.0066888332
3887.2012386672	1.0067505836
3887.2026275508	1.0068122149
3887.2040164343	1.0068738461
3887.2054053179	1.0069354773
3887.2067942015	1.0069972277
3887.2081830850	1.0070588589
3887.2095719686	1.0071204901
3887.2109608522	1.0071821213
3887.2123497357	1.0072438717
3887.2137386193	1.0073055029
3887.2151275024	1.0073671341
3887.2165163860	1.0074287653
3887.2179052695	1.0074905157
3887.2192941531	1.0075521469
3887.2206830367	1.0076137781
3887.2220719202	1.0076754093
3887.2234608033	1.0077371597
3887.2248496869	1.0077987909
3887.2262385705	1.0078604221
3887.2276274540	1.0079220533
3887.2290163376	1.0079838037
3887.2304052207	1.0080454350
3887.2317941043	1.0081070662
3887.2331829879	1.0081686974
3887.2345718714	1.0082304478
3887.2359607545	1.0082920790
3887.2373496381	1.0083537102
3887.2387385217	1.0084153414
3887.2401274052	1.0084770918
3887.2415162883	1.0085387230
3887.2429051719	1.0086003542
3887.2442940555	1.0086619854
3887.2456829386	1.0087237358
3887.2470718221	1.0087853670
3887.2484607057	1.0088469982
3887.2498495888	1.0089086294
