# tempo_BTJD  residuo_normalizado
3883.00678689  0.99916067
3883.00817579  0.99967429
3883.00956469  0.99912872
3883.01095359  0.99905849
3883.01234249  0.99924093
3883.01373139  0.99929182
3883.01512028  0.99906072
3883.01650918  0.99960250
3883.01789808  0.99940648
3883.01928698  0.99896405
3883.02067588  0.99944964
3883.02206478  0.99943121
3883.02345368  0.99999603
3883.02484257  0.99967015
3883.02623147  0.99951532
3883.02762037  0.99969900
3883.02900927  0.99919331
3883.03039817  0.99949867
3883.03178707  0.99935481
3883.03317597  0.99965789
3883.03456486  0.99900674
3883.03595376  0.99918250
3883.03734266  0.99912077
3883.03873156  0.99932255
3883.04012046  0.99955203
3883.04150936  0.99969942
3883.04289825  0.99988152
3883.04428715  1.00024428
3883.04567605  0.99916319
3883.04706495  0.99943071
3883.04845385  0.99978804
3883.04984275  0.99985387
3883.05123165  0.99960142
3883.05262054  0.99975288
3883.05400944  0.99978818
3883.05539834  0.99977571
3883.05678724  0.99977638
3883.05817614  0.99970258
3883.05956504  0.99969297
3883.06095393  1.00023077
3883.06234283  0.99977096
3883.06373173  1.00011540
3883.06512063  0.99956359
3883.06650953  0.99968735
3883.06789843  0.99966567
3883.06928733  0.99976544
3883.07067622  0.99936502
3883.07206512  0.99974817
3883.07345402  0.99966922
3883.07484292  0.99986980
3883.07623182  0.99999873
3883.07762072  1.00018838
3883.07900961  1.00011159
3883.08039851  0.99996023
3883.08178741  0.99965756
3883.08317631  0.99971714
3883.08456521  1.00023241
3883.08595411  1.00021817
3883.08734301  0.99998600
3883.08873190  1.00002876
3883.09012080  1.00024376
3883.09150970  0.99999690
3883.09289860  1.00010294
3883.09428750  1.00026315
3883.09567640  1.00030448
3883.09706529  1.00010431
3883.09845419  1.00041045
3883.09984309  0.99987567
3883.10123199  1.00034343
3883.10262089  1.00004444
3883.10400979  1.00060740
3883.10539868  1.00013478
3883.10678758  0.99994606
3883.10817648  1.00027278
3883.10956538  1.00061639
3883.11095428  1.00030227
3883.11234318  0.99934382
3883.11373207  0.99954364
3883.11512097  1.00007567
3883.11650987  0.99995011
3883.11789877  1.00043356
3883.11928767  0.99991934
3883.12067657  1.00040107
3883.12206546  0.99943253
3883.12345436  0.99989634
3883.12484326  0.99984077
3883.12623216  1.00009183
3883.12762106  0.99994336
3883.12900996  1.00027353
3883.13039885  0.99979659
3883.13178775  0.99962616
3883.13317665  0.99954124
3883.13456555  0.99985653
3883.13595445  0.99991813
3883.13734335  1.00026749
