# AU Mic b - empilhamento em fase (5 transitos)
# T0_ref=1330.390510  P_ref=8.4631516
# dt_dias  fluxo_normalizado  epoca
-0.24996775 1.00005638 84
-0.24965110 1.00055438 86
-0.24904671 1.00033902 85
-0.24884461 1.00059835 0
-0.24857883 0.99955477 84
-0.24826221 1.00053612 86
-0.24767096 0.99996027 2
-0.24765781 0.99971792 85
-0.24745573 1.00063684 0
-0.24718990 0.99976282 84
-0.24687332 1.00019225 86
-0.24628211 0.99977756 2
-0.24626890 1.00032520 85
-0.24606685 1.00074975 0
-0.24580098 1.00010488 84
-0.24548443 0.99970205 86
-0.24489327 0.99977436 2
-0.24488000 0.99961766 85
-0.24467797 0.99963208 0
-0.24441205 1.00008265 84
-0.24409554 0.99990875 86
-0.24350442 0.99972550 2
-0.24349110 1.00024010 85
-0.24328908 0.99979941 0
-0.24302313 0.99961589 84
-0.24270664 0.99992014 86
-0.24211558 0.99983184 2
-0.24210219 1.00038945 85
-0.24190020 1.00002365 0
-0.24163421 1.00007323 84
-0.24131775 1.00012058 86
-0.24071329 1.00032618 85
-0.24051132 1.00048848 0
-0.24024528 0.99960974 84
-0.23992886 0.99999370 86
-0.23933788 1.00014434 2
-0.23932439 1.00061555 85
-0.23912244 1.00033359 0
-0.23885636 0.99979762 84
-0.23853997 1.00023025 86
-0.23794904 0.99975148 2
-0.23793548 1.00056725 85
-0.23773356 1.00005543 0
-0.23746743 0.99949080 84
-0.23715108 0.99995237 86
-0.23656019 0.99952225 2
-0.23654658 1.00024191 85
-0.23634468 1.00008720 0
-0.23607851 0.99935015 84
-0.23576219 0.99961160 86
-0.23517135 0.99926608 2
-0.23515768 1.00053312 85
-0.23495579 1.00028218 0
-0.23468958 0.99989491 84
-0.23437330 1.00012205 86
-0.23378250 0.99951743 2
-0.23376877 1.00025705 85
-0.23356691 0.99994490 0
-0.23330066 1.00072696 84
-0.23298441 0.99995588 86
-0.23239365 0.99976012 2
-0.23237987 1.00027579 85
-0.23217803 0.99972980 0
-0.23191173 0.99921734 84
-0.23159552 0.99919421 86
-0.23100481 0.99944158 2
-0.23099097 1.00046953 85
-0.23078915 1.00018796 0
-0.23052281 0.99933888 84
-0.23020663 1.00028780 86
-0.22961596 0.99967841 2
-0.22960206 0.99984512 85
-0.22940027 0.99992891 0
-0.22913388 0.99939717 84
-0.22881774 0.99998614 86
-0.22822711 0.99967465 2
-0.22821316 1.00036370 85
-0.22801139 1.00029350 0
-0.22774496 1.00057202 84
-0.22742885 1.00019532 86
-0.22683827 0.99894490 2
-0.22682426 1.00052900 85
-0.22662250 1.00066005 0
-0.22635603 0.99969161 84
-0.22603996 1.00085973 86
-0.22544942 0.99945032 2
-0.22543535 0.99967480 85
-0.22523362 0.99950063 0
-0.22496711 0.99978851 84
-0.22465107 1.00050635 86
-0.22406058 0.99951062 2
-0.22404645 0.99981309 85
-0.22384474 1.00004737 0
-0.22357818 0.99994548 84
-0.22326218 1.00022656 86
-0.22267173 0.99976238 2
-0.22265755 0.99986798 85
-0.22245586 1.00000203 0
-0.22218926 0.99970711 84
-0.22187329 1.00031248 86
-0.22128288 0.99996129 2
-0.22126864 0.99988826 85
-0.22106698 1.00023081 0
-0.22080033 0.99985617 84
-0.22048439 1.00033857 86
-0.21989404 1.00004127 2
-0.21987974 1.00025297 85
-0.21967810 0.99986977 0
-0.21941141 0.99998083 84
-0.21909550 1.00059508 86
-0.21850519 1.00036543 2
-0.21849084 1.00032844 85
-0.21828922 0.99994677 0
-0.21802249 1.00018038 84
-0.21770661 0.99979428 86
-0.21711635 0.99982871 2
-0.21710193 0.99996827 85
-0.21690033 0.99983878 0
-0.21663356 1.00008125 84
-0.21631772 0.99972410 86
-0.21572750 1.00004762 2
-0.21571303 0.99953715 85
-0.21551145 0.99986830 0
-0.21524464 1.00050927 84
-0.21492883 0.99998200 86
-0.21433865 1.00075806 2
-0.21432413 0.99968129 85
-0.21412257 0.99981215 0
-0.21385571 0.99976848 84
-0.21353994 0.99985095 86
-0.21294981 1.00074263 2
-0.21293522 0.99982180 85
-0.21273369 0.99954393 0
-0.21246679 0.99992647 84
-0.21215105 1.00017372 86
-0.21156096 1.00051754 2
-0.21154632 0.99973219 85
-0.21134481 1.00013704 0
-0.21107786 1.00040412 84
-0.21076216 0.99985364 86
-0.21017212 0.99940346 2
-0.21015742 0.99963708 85
-0.20995593 0.99983546 0
-0.20968894 0.99959269 84
-0.20937327 0.99998843 86
-0.20878327 1.00029995 2
-0.20876851 0.99989185 85
-0.20856704 1.00007818 0
-0.20830001 0.99994569 84
-0.20798438 0.99991375 86
-0.20739442 0.99975767 2
-0.20737961 0.99968381 85
-0.20717816 0.99925955 0
-0.20691109 0.99967001 84
-0.20659549 0.99960622 86
-0.20600558 0.99970361 2
-0.20599071 0.99928800 85
-0.20578928 0.99980513 0
-0.20552216 0.99954588 84
-0.20520660 0.99965641 86
-0.20461673 1.00028950 2
-0.20460180 0.99974786 85
-0.20440040 0.99996880 0
-0.20413324 1.00018980 84
-0.20381771 0.99970102 86
-0.20322788 0.99994703 2
-0.20321290 0.99995773 85
-0.20301152 1.00012556 0
-0.20274431 1.00036875 84
-0.20242882 0.99989944 86
-0.20183904 1.00006569 2
-0.20182400 0.99955894 85
-0.20162264 0.99928704 0
-0.20135539 1.00110182 84
-0.20103993 0.99978200 86
-0.20045019 1.00049672 2
-0.20043509 0.99959462 85
-0.20023375 0.99987029 0
-0.19996646 1.00009686 84
-0.19965104 0.99950932 86
-0.19906135 0.99959994 2
-0.19904619 0.99979047 85
-0.19884487 1.00007944 0
-0.19857754 1.00118504 84
-0.19826214 0.99941287 86
-0.19767250 1.00015835 2
-0.19765729 0.99976246 85
-0.19745599 0.99923685 0
-0.19718861 1.00084559 84
-0.19687325 1.00013543 86
-0.19628365 0.99993539 2
-0.19626838 1.00028261 85
-0.19606711 1.00022535 0
-0.19579969 1.00051025 84
-0.19548436 0.99937494 86
-0.19489481 0.99970878 2
-0.19487948 0.99999648 85
-0.19467823 0.99954157 0
-0.19441077 1.00020847 84
-0.19409547 0.99939662 86
-0.19350596 1.00002173 2
-0.19349058 0.99971144 85
-0.19328935 1.00022014 0
-0.19302184 1.00011959 84
-0.19270658 1.00015677 86
-0.19211712 0.99984679 2
-0.19210167 0.99992591 85
-0.19190047 0.99950641 0
-0.19163292 1.00025684 84
-0.19131769 0.99940198 86
-0.19072827 0.99919813 2
-0.19071277 0.99987749 85
-0.19051158 0.99981802 0
-0.19024399 1.00036184 84
-0.18992880 0.99944628 86
-0.18933942 1.00074523 2
-0.18932387 0.99970460 85
-0.18912270 0.99990630 0
-0.18885507 0.99998601 84
-0.18853991 0.99939108 86
-0.18795058 0.99928579 2
-0.18793496 0.99944886 85
-0.18773382 0.99992699 0
-0.18746614 0.99998193 84
-0.18715102 0.99977132 86
-0.18656173 0.99984419 2
-0.18654606 0.99977079 85
-0.18634494 0.99958436 0
-0.18607722 1.00072170 84
-0.18576213 1.00051092 86
-0.18517289 0.99986471 2
-0.18515716 1.00004912 85
-0.18495606 1.00008132 0
-0.18468829 1.00040987 84
-0.18437324 0.99973474 86
-0.18378404 0.99989260 2
-0.18376825 0.99980921 85
-0.18356718 0.99978133 0
-0.18329937 1.00032671 84
-0.18298435 0.99997041 86
-0.18239519 0.99922114 2
-0.18237935 0.99957342 85
-0.18217829 0.99985394 0
-0.18191044 1.00050344 84
-0.18159546 1.00017395 86
-0.18100635 1.00001755 2
-0.18099045 1.00030162 85
-0.18078941 1.00027619 0
-0.18052152 1.00030166 84
-0.18020657 0.99983075 86
-0.17961750 0.99951341 2
-0.17960154 0.99968019 85
-0.17940053 0.99978800 0
-0.17913259 1.00037802 84
-0.17881768 0.99960024 86
-0.17822866 0.99958423 2
-0.17821264 1.00024793 85
-0.17801165 1.00031366 0
-0.17774367 1.00029852 84
-0.17742879 0.99969810 86
-0.17683981 1.00077041 2
-0.17682374 1.00004529 85
-0.17662277 0.99999456 0
-0.17635474 1.00064671 84
-0.17603990 0.99998156 86
-0.17545096 0.99985482 2
-0.17543483 0.99971728 85
-0.17523389 1.00042465 0
-0.17496582 1.00007696 84
-0.17465100 1.00019416 86
-0.17406212 0.99972952 2
-0.17404593 0.99944002 85
-0.17384500 0.99991902 0
-0.17357690 1.00071088 84
-0.17326211 1.00027332 86
-0.17267327 0.99958686 2
-0.17265703 1.00029163 85
-0.17245612 1.00017102 0
-0.17218797 1.00037518 84
-0.17187322 0.99970180 86
-0.17128443 0.99973701 2
-0.17126812 1.00019390 85
-0.17106724 1.00023217 0
-0.17079905 1.00116100 84
-0.17048433 1.00013893 86
-0.16989558 0.99956459 2
-0.16987922 1.00018126 85
-0.16967836 1.00042143 0
-0.16941012 1.00076122 84
-0.16909544 0.99926623 86
-0.16850673 0.99962248 2
-0.16849032 0.99965403 85
-0.16828948 1.00047251 0
-0.16802120 1.00078799 84
-0.16770655 0.99946639 86
-0.16711789 0.99968907 2
-0.16710141 1.00048706 85
-0.16690060 1.00017523 0
-0.16663227 1.00005796 84
-0.16631766 1.00013458 86
-0.16572904 1.00050169 2
-0.16571251 0.99993302 85
-0.16551172 1.00033555 0
-0.16524335 1.00025236 84
-0.16492877 0.99974172 86
-0.16434019 1.00040359 2
-0.16432361 0.99971880 85
