# AU Mic b - empilhado binado (bins de 0.002 d)
# T0_ref=1330.390510  P_ref=8.4631516
# dt_dias  fluxo_normalizado  erro
-0.24905854 1.00043757 0.00016547
-0.24693320 1.00007626 0.00014266
-0.24489203 0.99977436 0.00007704
-0.24289031 0.99983184 0.00010629
-0.24105368 1.00009690 0.00012235
-0.23918498 1.00018729 0.00011515
-0.23708517 0.99995237 0.00013218
-0.23501832 1.00000848 0.00018844
-0.23304435 0.99995039 0.00013598
-0.23100309 0.99944158 0.00021009
-0.22887770 0.99988701 0.00011446
-0.22683640 1.00052900 0.00025481
-0.22483480 0.99967480 0.00013736
-0.22295136 0.99994548 0.00006698
-0.22112942 1.00009605 0.00008994
-0.21902961 1.00018038 0.00007846
-0.21696275 0.99983374 0.00005290
-0.21498885 0.99992515 0.00014640
-0.21294746 0.99985095 0.00014626
-0.21094595 0.99985364 0.00015557
-0.20906242 0.99994569 0.00008231
-0.20706410 0.99968381 0.00007554
-0.20503261 0.99977649 0.00011719
-0.20307386 0.99995238 0.00009235
-0.20110000 0.99982615 0.00020655
-0.19905851 0.99979047 0.00022857
-0.19693335 1.00014689 0.00016310
-0.19489183 0.99970878 0.00016372
-0.19289044 1.00002173 0.00006901
-0.19100681 0.99981802 0.00016424
-0.18918496 0.99980545 0.00020139
-0.18708516 0.99977132 0.00013614
-0.18501829 1.00006522 0.00012331
-0.18304450 0.99983157 0.00011218
-0.18100288 1.00027619 0.00008293
-0.17887785 0.99973409 0.00012814
-0.17683620 1.00004529 0.00014640
-0.17483494 0.99985482 0.00012597
-0.17295120 1.00027332 0.00013456
-0.17112940 1.00016641 0.00021530
-0.16902961 1.00018126 0.00018874
-0.16696273 1.00009627 0.00014953
-0.16498900 1.00029395 0.00011943
-0.16294726 1.00000809 0.00016040
-0.16094609 1.00007633 0.00013881
-0.15906227 0.99981369 0.00019738
-0.15706431 0.99974512 0.00024651
-0.15503241 0.99994757 0.00022378
-0.15307384 0.99967806 0.00018366
-0.15110016 1.00021422 0.00015009
-0.14905831 1.00025668 0.00020013
-0.14693350 1.00010080 0.00016115
-0.14489163 1.00033605 0.00019714
-0.14289058 0.99999172 0.00024364
-0.14100666 1.00037287 0.00012558
-0.13918494 1.00016017 0.00013625
-0.13708516 0.99989547 0.00022269
-0.13501827 1.00006560 0.00007228
-0.13304466 1.00003409 0.00008346
-0.13100182 0.99994123 0.00016232
-0.12886246 1.00017105 0.00008181
-0.12683511 0.99998835 0.00005127
-0.12486587 0.99973735 0.00008059
-0.12299709 0.99994656 0.00016998
-0.12112938 1.00012683 0.00014680
-0.11902960 0.99990590 0.00020113
-0.11696271 1.00022487 0.00015645
-0.11498916 1.00022992 0.00016137
-0.11294706 1.00001748 0.00015204
-0.11094623 0.99999425 0.00008684
-0.10906212 1.00008559 0.00008196
-0.10706451 1.00012530 0.00010423
-0.10503222 1.00006682 0.00012934
-0.10307382 0.99954285 0.00012496
-0.10110031 0.99998397 0.00013128
-0.09905811 0.99947494 0.00015703
-0.09693366 1.00003362 0.00010723
-0.09489143 0.99970305 0.00022192
-0.09289072 0.99979197 0.00007116
-0.09100651 0.99970505 0.00010987
-0.08918493 0.99976342 0.00014297
-0.08708515 0.99968300 0.00012182
-0.08501826 0.99981648 0.00025190
-0.08304481 0.99973477 0.00011373
-0.08100249 0.99885603 0.00033397
-0.07887816 0.99925527 0.00041808
-0.07683580 0.99797266 0.00044339
-0.07483522 0.99781143 0.00058434
-0.07295090 0.99781941 0.00053400
-0.07112936 0.99754195 0.00065003
-0.06902960 0.99756075 0.00033521
-0.06696270 0.99736883 0.00038859
-0.06498932 0.99713704 0.00018859
-0.06294686 0.99684676 0.00018525
-0.06094637 0.99727992 0.00021738
-0.05906197 0.99723116 0.00021517
-0.05706472 0.99691742 0.00035589
-0.05503202 0.99701840 0.00021191
-0.05307380 0.99667096 0.00029571
-0.05110047 0.99711946 0.00022785
-0.04905792 0.99696139 0.00030436
-0.04699097 0.99704827 0.00057846
-0.04492660 0.99641190 0.00045259
-0.04282432 0.99707166 0.00053419
-0.04092617 0.99630665 0.00050218
-0.03919719 0.99646017 0.00043798
-0.03708515 0.99688786 0.00020498
-0.03501824 0.99697832 0.00024355
-0.03304497 0.99716623 0.00017783
-0.03100229 0.99668163 0.00022675
-0.02887832 0.99694964 0.00020283
-0.02683561 0.99695317 0.00019520
-0.02483536 0.99666388 0.00011570
-0.02295075 0.99644981 0.00017964
-0.02112935 0.99678821 0.00054266
-0.01902960 0.99714374 0.00076233
-0.01696268 0.99671003 0.00048774
-0.01498948 0.99693643 0.00034745
-0.01294667 0.99653158 0.00033757
-0.01094651 0.99687170 0.00028942
-0.00906182 0.99700386 0.00022815
-0.00706493 0.99681663 0.00029366
-0.00503183 0.99678785 0.00035984
-0.00307379 0.99637494 0.00043815
-0.00110063 0.99666639 0.00019406
0.00094228 0.99680141 0.00020762
0.00297400 0.99682487 0.00026130
0.00510896 0.99621129 0.00032232
0.00710899 0.99696240 0.00024472
0.00899379 0.99677897 0.00026837
0.01081510 0.99661261 0.00019579
0.01291484 0.99658918 0.00011729
0.01498177 0.99702239 0.00029657
0.01695486 0.99721277 0.00052640
0.01899790 0.99737537 0.00109669
0.02112152 0.99718915 0.00083140
0.02316458 0.99729776 0.00087378
0.02516449 0.99718760 0.00057533
0.02704940 0.99687335 0.00051810
0.02887066 0.99708576 0.00085706
0.03097040 0.99683638 0.00040458
0.03303733 0.99732302 0.00077888
0.03501036 0.99705002 0.00048519
0.03705353 0.99700703 0.00076983
0.03905334 0.99680728 0.00051420
0.04093833 0.99705017 0.00050369
0.04293486 0.99716582 0.00063531
0.04491019 0.99755963 0.00046018
0.04695859 0.99778373 0.00059310
0.04900577 0.99740490 0.00051931
0.05094247 0.99780653 0.00051799
0.05306585 0.99769522 0.00034833
0.05510915 0.99891236 0.00044272
0.05710884 0.99881072 0.00057063
0.05899393 0.99993689 0.00060969
0.06081511 1.00050361 0.00050319
0.06299609 0.99988783 0.00042918
0.06498178 1.00039622 0.00063975
0.06686293 1.00002631 0.00038844
0.06900012 1.00012642 0.00021727
0.07113874 0.99982117 0.00020015
0.07316683 1.00006229 0.00017794
0.07503671 1.00028775 0.00038138
0.07700463 1.00056327 0.00034524
0.07890324 1.00041196 0.00018285
0.08107961 1.00023223 0.00009966
0.08303734 1.00027177 0.00011559
0.08501019 1.00022870 0.00012645
0.08705371 1.00013289 0.00011982
0.08905319 1.00031581 0.00011734
0.09093847 1.00034567 0.00019532
0.09293464 1.00025814 0.00015385
0.09496855 1.00017620 0.00009477
0.09692623 1.00006026 0.00009362
0.09889903 1.00018547 0.00014736
0.10094266 0.99990742 0.00017849
0.10306569 1.00014421 0.00008363
0.10510934 0.99986145 0.00017435
0.10710869 0.99975612 0.00021008
0.10899407 0.99999780 0.00006002
0.11081512 0.99986719 0.00025022
0.11291483 1.00000608 0.00010804
0.11498179 0.99989790 0.00011777
0.11695453 0.99997757 0.00016438
0.11899828 1.00010538 0.00011149
0.12112118 1.00009924 0.00009497
0.12316496 0.99994152 0.00010954
0.12516419 1.00014260 0.00010747
0.12704968 1.00003068 0.00011967
0.12887068 1.00006453 0.00017082
0.13097038 1.00023039 0.00014076
0.13303734 1.00010573 0.00027000
0.13501002 0.99991545 0.00009235
0.13705390 1.00012454 0.00011272
0.13892570 1.00035647 0.00015251
0.14093861 1.00007701 0.00014093
0.14293443 1.00012621 0.00026937
0.14496873 1.00023370 0.00011921
0.14695923 1.00004882 0.00019002
0.14880742 1.00011373 0.00022286
0.15094284 1.00008898 0.00010925
