# AU Mic b - todos os transitos extraidos dos setores 1 e 27
# T0_ref=1330.390510  P_ref=8.4631516  janela=+/-0.25 d  N_transitos=5  N_pontos=1739
# tempo_BTJD  dt_dias  fluxo_residual  fluxo_normalizado  epoca  setor
1330.14166539 -0.24884461 1.00056385 1.00059835 0 12018
1330.14305427 -0.24745573 1.00060234 1.00063684 0 12018
1330.14444315 -0.24606685 1.00071523 1.00074975 0 12018
1330.14583203 -0.24467797 0.99959761 0.99963208 0 12018
1330.14722092 -0.24328908 0.99976493 0.99979941 0 12018
1330.14860980 -0.24190020 0.99998917 1.00002365 0 12018
1330.14999868 -0.24051132 1.00045398 1.00048848 0 12018
1330.15138756 -0.23912244 1.00029909 1.00033359 0 12018
1330.15277644 -0.23773356 1.00002094 1.00005543 0 12018
1330.15416532 -0.23634468 1.00005271 1.00008720 0 12018
1330.15555421 -0.23495579 1.00024769 1.00028218 0 12018
1330.15694309 -0.23356691 0.99991042 0.99994490 0 12018
1330.15833197 -0.23217803 0.99969533 0.99972980 0 12018
1330.15972085 -0.23078915 1.00015347 1.00018796 0 12018
1330.16110973 -0.22940027 0.99989443 0.99992891 0 12018
1330.16249861 -0.22801139 1.00025900 1.00029350 0 12018
1330.16388750 -0.22662250 1.00062554 1.00066005 0 12018
1330.16527638 -0.22523362 0.99946617 0.99950063 0 12018
1330.16666526 -0.22384474 1.00001288 1.00004737 0 12018
1330.16805414 -0.22245586 0.99996755 1.00000203 0 12018
1330.16944302 -0.22106698 1.00019631 1.00023081 0 12018
1330.17083190 -0.21967810 0.99983529 0.99986977 0 12018
1330.17222078 -0.21828922 0.99991228 0.99994677 0 12018
1330.17360967 -0.21690033 0.99980430 0.99983878 0 12018
1330.17499855 -0.21551145 0.99983382 0.99986830 0 12018
1330.17638743 -0.21412257 0.99977767 0.99981215 0 12018
1330.17777631 -0.21273369 0.99950946 0.99954393 0 12018
1330.17916519 -0.21134481 1.00010255 1.00013704 0 12018
1330.18055407 -0.20995593 0.99980098 0.99983546 0 12018
1330.18194296 -0.20856704 1.00004369 1.00007818 0 12018
1330.18333184 -0.20717816 0.99922509 0.99925955 0 12018
1330.18472072 -0.20578928 0.99977065 0.99980513 0 12018
1330.18610960 -0.20440040 0.99993432 0.99996880 0 12018
1330.18749848 -0.20301152 1.00009107 1.00012556 0 12018
1330.18888736 -0.20162264 0.99925258 0.99928704 0 12018
1330.19027625 -0.20023375 0.99983581 0.99987029 0 12018
1330.19166513 -0.19884487 1.00004496 1.00007944 0 12018
1330.19305401 -0.19745599 0.99920239 0.99923685 0 12018
1330.19444289 -0.19606711 1.00019086 1.00022535 0 12018
1330.19583177 -0.19467823 0.99950710 0.99954157 0 12018
1330.19722065 -0.19328935 1.00018564 1.00022014 0 12018
1330.19860953 -0.19190047 0.99947194 0.99950641 0 12018
1330.19999842 -0.19051158 0.99978354 0.99981802 0 12018
1330.20138730 -0.18912270 0.99987182 0.99990630 0 12018
1330.20277618 -0.18773382 0.99989251 0.99992699 0 12018
1330.20416506 -0.18634494 0.99954989 0.99958436 0 12018
