# AU Mic b | epoca=2 | Setor 1  (2018) | Tc=1347.316813 | T0=1330.390510 | P=8.4631516
# tempo_BTJD  dt_dias  fluxo_residual  fluxo_normalizado
1347.06914224 -0.24767096 0.99968615 0.99996027
1347.07053109 -0.24628211 0.99950349 0.99977756
1347.07191993 -0.24489327 0.99950030 0.99977436
1347.07330878 -0.24350442 0.99945145 0.99972550
1347.07469762 -0.24211558 0.99955776 0.99983184
1347.07747532 -0.23933788 0.99987018 1.00014434
1347.07886416 -0.23794904 0.99947743 0.99975148
1347.08025301 -0.23656019 0.99924826 0.99952225
1347.08164185 -0.23517135 0.99899216 0.99926608
1347.08303070 -0.23378250 0.99924344 0.99951743
1347.08441955 -0.23239365 0.99948607 0.99976012
1347.08580839 -0.23100481 0.99916762 0.99944158
1347.08719724 -0.22961596 0.99940437 0.99967841
1347.08858609 -0.22822711 0.99940062 0.99967465
1347.08997493 -0.22683827 0.99867106 0.99894490
1347.09136378 -0.22544942 0.99917635 0.99945032
1347.09275262 -0.22406058 0.99923663 0.99951062
1347.09414147 -0.22267173 0.99948833 0.99976238
1347.09553032 -0.22128288 0.99968718 0.99996129
1347.09691916 -0.21989404 0.99976714 1.00004127
1347.09830801 -0.21850519 1.00009121 1.00036543
1347.09969685 -0.21711635 0.99955464 0.99982871
1347.10108570 -0.21572750 0.99977349 1.00004762
1347.10247455 -0.21433865 1.00048373 1.00075806
1347.10386339 -0.21294981 1.00046831 1.00074263
1347.10525224 -0.21156096 1.00024327 1.00051754
1347.10664108 -0.21017212 0.99912950 0.99940346
1347.10802993 -0.20878327 1.00002574 1.00029995
1347.10941878 -0.20739442 0.99948361 0.99975767
1347.11080762 -0.20600558 0.99942957 0.99970361
1347.11219647 -0.20461673 1.00001530 1.00028950
1347.11358532 -0.20322788 0.99967292 0.99994703
1347.11497416 -0.20183904 0.99979155 1.00006569
1347.11636301 -0.20045019 1.00022246 1.00049672
1347.11775185 -0.19906135 0.99932593 0.99959994
1347.11914070 -0.19767250 0.99988419 1.00015835
1347.12052955 -0.19628365 0.99966129 0.99993539
1347.12191839 -0.19489481 0.99943474 0.99970878
1347.12330724 -0.19350596 0.99974761 1.00002173
1347.12469608 -0.19211712 0.99957271 0.99984679
1347.12608493 -0.19072827 0.99892423 0.99919813
1347.12747378 -0.18933942 1.00047091 1.00074523
1347.12886262 -0.18795058 0.99901187 0.99928579
1347.13025147 -0.18656173 0.99957011 0.99984419
1347.13164031 -0.18517289 0.99959062 0.99986471
1347.13302916 -0.18378404 0.99961850 0.99989260
1347.13441801 -0.18239519 0.99894723 0.99922114
1347.13580685 -0.18100635 0.99974342 1.00001755
1347.13719570 -0.17961750 0.99923942 0.99951341
1347.13858454 -0.17822866 0.99931022 0.99958423
1347.13997339 -0.17683981 1.00049608 1.00077041
1347.14136224 -0.17545096 0.99958074 0.99985482
1347.14275108 -0.17406212 0.99945548 0.99972952
1347.14413993 -0.17267327 0.99931285 0.99958686
1347.14552877 -0.17128443 0.99946296 0.99973701
1347.14691762 -0.16989558 0.99929059 0.99956459
1347.14830647 -0.16850673 0.99934846 0.99962248
1347.14969531 -0.16711789 0.99941504 0.99968907
1347.15108416 -0.16572904 1.00022743 1.00050169
1347.15247301 -0.16434019 1.00012935 1.00040359
1347.15386185 -0.16295135 0.99903111 0.99930504
1347.15525070 -0.16156250 0.99925027 0.99952426
1347.15663954 -0.16017366 1.00003451 1.00030872
1347.15802839 -0.15878481 0.99885971 0.99913360
1347.15941724 -0.15739596 1.00048655 1.00076088
1347.16080608 -0.15600712 0.99947106 0.99974512
1347.16219493 -0.15461827 1.00015198 1.00042622
1347.16358377 -0.15322943 0.99959785 0.99987194
1347.16497262 -0.15184058 1.00047283 1.00074715
1347.16636147 -0.15045173 0.99942572 0.99969976
1347.16775031 -0.14906289 0.99998249 1.00025668
1347.16913916 -0.14767404 0.99953702 0.99981109
1347.17052800 -0.14628520 0.99981462 1.00008877
1347.17191685 -0.14489635 1.00009039 1.00036461
1347.17330570 -0.14350750 0.99931172 0.99958573
1347.17469454 -0.14211866 1.00098007 1.00125453
1347.17608339 -0.14072981 1.00009865 1.00037287
1347.17747223 -0.13934097 0.99957362 0.99984770
1347.17886108 -0.13795212 0.99915314 0.99942710
1347.18024993 -0.13656327 1.00120003 1.00147455
1347.18163877 -0.13517443 0.99967047 0.99994457
1347.18302762 -0.13378558 0.99969530 0.99996941
