# AU Mic b | epoca=302 | Setor 95 (2025) | Tc=3886.262293 | T0=1330.390510 | P=8.4631516
# tempo_BTJD  dt_dias  fluxo_residual  fluxo_normalizado
3886.01235251 -0.24994069 1.00041485 1.00042455
3886.01374140 -0.24855180 1.00023202 1.00024172
3886.01513028 -0.24716292 1.00007444 1.00008414
3886.01651917 -0.24577403 0.99984188 0.99985158
3886.01790806 -0.24438514 1.00022985 1.00023955
3886.01929695 -0.24299625 0.99968720 0.99969690
3886.02068584 -0.24160736 0.99906047 0.99907016
3886.02207472 -0.24021848 1.00034838 1.00035808
3886.02346361 -0.23882959 1.00002307 1.00003277
3886.02485250 -0.23744070 1.00025110 1.00026080
3886.02624139 -0.23605181 0.99936783 0.99937752
3886.02763027 -0.23466293 0.99992144 0.99993114
3886.02901916 -0.23327404 0.99979641 0.99980611
3886.03040805 -0.23188515 1.00019890 1.00020860
3886.03179694 -0.23049626 0.99988385 0.99989355
3886.03318583 -0.22910737 0.99998888 0.99999858
3886.03457471 -0.22771849 1.00055909 1.00056880
3886.03596360 -0.22632960 1.00032403 1.00033373
3886.03735249 -0.22494071 0.99972734 0.99973704
3886.03874138 -0.22355182 0.99971059 0.99972029
3886.04013026 -0.22216294 0.99997066 0.99998036
3886.04151915 -0.22077405 1.00054694 1.00055665
3886.04290804 -0.21938516 1.00004590 1.00005560
3886.04429693 -0.21799627 0.99956161 0.99957131
3886.04568582 -0.21660738 1.00012061 1.00013031
3886.04707470 -0.21521850 1.00049113 1.00050083
3886.04846359 -0.21382961 1.00002760 1.00003730
3886.04985248 -0.21244072 1.00067184 1.00068155
3886.05124137 -0.21105183 0.99976111 0.99977081
3886.05263025 -0.20966295 1.00002118 1.00003088
3886.05401914 -0.20827406 0.99996971 0.99997941
3886.05540803 -0.20688517 0.99973897 0.99974867
3886.05679692 -0.20549628 1.00039053 1.00040023
3886.05818581 -0.20410739 1.00077950 1.00078921
3886.05957469 -0.20271851 0.99984809 0.99985779
3886.06096358 -0.20132962 0.99961960 0.99962930
3886.06235247 -0.19994073 0.99977276 0.99978246
3886.06374136 -0.19855184 0.99972055 0.99973025
3886.06513024 -0.19716296 1.00048422 1.00049392
3886.06651913 -0.19577407 1.00012679 1.00013649
3886.06790802 -0.19438518 1.00049739 1.00050709
3886.06929691 -0.19299629 1.00008847 1.00009817
3886.07068579 -0.19160741 1.00010007 1.00010977
3886.07207468 -0.19021852 1.00030602 1.00031572
3886.07346357 -0.18882963 1.00066008 1.00066979
3886.07485246 -0.18744074 1.00003114 1.00004084
3886.07624135 -0.18605185 1.00011875 1.00012845
3886.07763023 -0.18466297 0.99967878 0.99968848
3886.07901912 -0.18327408 1.00015839 1.00016809
