# tempo_detrend fluxo_detrend
1325.301402 1.001180
1325.302791 1.000030
1325.304179 1.000093
1325.305568 0.999948
1325.306957 0.999523
1325.308346 0.999555
1325.309735 1.001569
1325.311124 1.001421
1325.312513 0.999737
1325.313902 0.999928
1325.315291 1.000207
1325.316679 0.999660
1325.318068 0.999230
1325.319457 0.998577
1325.320846 0.999706
1325.322235 1.000718
1325.323624 1.001174
1325.325013 0.999500
1325.326402 1.000027
1325.327791 0.999893
1325.329179 1.000056
1325.330568 0.999323
1325.331957 0.999239
1325.333346 0.999384
1325.334735 1.000747
1325.336124 0.999489
1325.337513 1.001451
1325.338902 1.000735
1325.340291 1.000075
1325.341679 0.999486
1325.343068 0.999399
1325.344457 0.999447
1325.345846 0.999801
1325.347235 1.001073
1325.348624 1.000021
1325.350013 1.000795
1325.351402 0.999915
1325.352791 0.999677
1325.354179 0.999865
1325.355568 1.000237
1325.356957 0.999695
1325.358346 0.999298
1325.359735 1.001061
1325.361124 1.000514
1325.362513 0.999806
1325.363902 0.999857
1325.365291 1.000066
1325.366679 1.000003
1325.368068 0.999508
1325.369457 0.999040
1325.370846 1.000662
1325.372235 1.000826
1325.373624 1.002179
1325.375013 1.000293
1325.376402 1.000321
1325.377791 1.000478
1325.379179 1.000173
1325.380568 1.000042
1325.381957 0.999058
1325.383346 0.999284
1325.384735 1.000539
1325.386124 1.000808
1325.387513 1.001237
1325.388902 1.000184
1325.390291 0.999618
1325.391679 0.999876
1325.393068 0.999720
1325.394457 0.999223
1325.395846 1.000371
1325.397235 1.001008
1325.398624 1.002525
1325.400013 0.999599
1325.401402 0.999221
1325.402791 1.000235
1325.404179 1.000264
1325.405568 0.998892
1325.406957 0.999827
1325.408346 1.000342
1325.409735 1.000312
1325.411124 1.001178
1325.412513 1.002115
1325.413902 1.000457
1325.415291 1.000058
1325.416679 1.000144
1325.418068 0.999607
1325.419457 1.000158
1325.420846 0.998604
1325.422235 1.000993
1325.423624 0.999267
1325.425013 1.001109
1325.426402 1.000911
1325.427791 0.999605
1325.429179 1.000246
1325.430568 0.999541
1325.431957 0.999470
1325.433346 0.999855
1325.434735 1.000553
1325.436124 1.000361
1325.437513 1.002592
1325.438902 0.999883
1325.440291 1.000328
1325.441679 0.999250
1325.443068 1.000066
1325.444457 0.999437
1325.445846 0.999137
1325.447235 1.000333
1325.448624 1.001066
1325.450013 0.999401
1325.451402 1.001377
1325.452791 0.999279
1325.454179 0.999636
1325.455568 0.999980
1325.456957 0.999664
1325.458346 0.999777
1325.459735 0.999492
1325.461124 0.999985
1325.462513 1.003608
1325.463902 0.999815
1325.465291 1.000107
1325.466679 1.000271
1325.468068 0.999526
1325.469457 0.999656
1325.470846 0.999750
1325.472235 0.999016
1325.473624 1.001155
1325.475013 1.000079
1325.476402 1.000895
1325.477791 1.000267
1325.479179 0.999875
1325.480568 1.000141
1325.481957 0.999233
1325.483346 0.999755
1325.484735 0.999497
1325.486124 1.001121
1325.487513 1.000434
1325.488902 0.998948
1325.490291 1.000726
1325.491679 1.000949
1325.493068 0.999846
1325.494457 0.999480
1325.495846 1.000089
1325.497235 0.999213
1325.498624 0.999538
1325.500013 1.000372
1325.501402 1.000215
1325.502791 1.000895
1325.504179 0.999908
1325.505568 0.999878
1325.506957 0.999798
1325.508346 0.999546
1325.509735 0.999424
1325.511124 0.999098
1325.512513 1.000663
1325.513902 1.000095
1325.515291 0.999721
1325.516679 1.000323
1325.518068 0.999763
1325.519457 0.999847
1325.520846 0.999669
1325.522235 1.000560
1325.523624 0.999749
1325.525013 0.999810
1325.526402 1.000844
1325.527791 0.999617
1325.529179 0.997974
1325.530568 1.000271
1325.531957 0.999808
1325.533346 0.999952
1325.534735 0.999633
1325.536124 0.999799
1325.537513 0.998617
1325.538902 1.001048
1325.540291 0.998889
1325.541679 1.000296
1325.543068 1.000163
1325.544457 0.999210
1325.545846 0.999558
1325.547235 0.999187
1325.548624 0.999405
1325.550013 0.999405
1325.551402 1.000374
1325.552791 1.000336
1325.554179 0.999404
1325.555568 0.999842
1325.556957 0.999111
1325.558346 0.999323
1325.559735 0.999678
1325.561124 0.998954
1325.562513 0.999390
1325.563902 0.999328
1325.565291 1.000666
1325.566679 0.998941
1325.568068 1.000376
1325.569457 0.999459
1325.570846 1.000063
1325.572235 1.000101
1325.573624 0.999938
1325.575013 0.999153
1325.576402 0.998554
1325.577791 1.000114
1325.579179 1.001108
1325.580568 1.000358
1325.581957 1.001036
1325.583346 1.001230
1325.584735 1.001293
1325.586124 1.001060
1325.587513 1.000741
1325.588902 1.000236
1325.590291 1.000360
1325.591679 1.001795
1325.593068 1.001178
1325.594457 1.000741
1325.595846 1.000165
1325.597235 1.000616
1325.598624 1.000361
1325.600013 1.000498
1325.601402 1.000581
1325.602791 0.999758
1325.604179 1.000386
1325.605568 1.001178
1325.606957 1.000242
1325.608346 0.998767
1325.609735 1.000733
1325.611124 1.000859
1325.612513 1.000411
1325.613902 1.000340
1325.615291 1.000157
1325.616679 0.998740
1325.618068 1.001742
1325.619457 0.999716
1325.620846 1.000613
1325.622235 0.999817
1325.623624 1.000787
1325.625013 0.999788
1325.626402 1.000341
1325.627790 1.000010
1325.629179 0.998598
1325.630568 1.001384
1325.631957 1.000192
1325.633346 1.000773
1325.634735 1.001374
1325.636124 0.999318
1325.637513 1.000298
1325.638902 0.999228
1325.640290 0.999306
1325.641679 0.999256
1325.643068 1.000531
1325.644457 0.999945
1325.645846 1.000650
1325.647235 0.999791
1325.648624 1.000112
1325.650013 0.999403
1325.651402 0.999663
