t_bjd_tdb,minutos,C_g,sigC_g,modelo_IIb_g,C_r,sigC_r,modelo_IIb_r,C_i,sigC_i,modelo_IIb_i,C_z,sigC_z,modelo_IIb_z,T_IIa_K,T_IIb_K,T_MB_K,A_MB_cm2,L_IIb_erg_s,L_MB_erg_s,bins_bons
2461268.4,0,1,0.014240601,1,1,0.0097809167,1,1,0.0088064694,1,1,0.0090413746,1,3700,3700,3700,0,0,0,0
2461268.4,0.25000066,1,0.014240601,1,1,0.0097809167,1,1,0.0088064694,1,1,0.0090413746,1,3700,3700,3700,0,0,0,0
2461268.4,0.49999997,1,0.014240601,1,1,0.0097809167,1,1,0.0088064694,1,1,0.0090413746,1,3700,3700,3700,0,0,0,0
2461268.4,0.75000063,1,0.014240601,1,1,0.0097809167,1,1,0.0088064694,1,1,0.0090413746,1,3700,3700,3700,0,0,0,0
2461268.4,0.99999994,0.98755052,0.0040764859,1,0.99484154,0.0049181943,1,0.99184619,0.0047735203,1,0.98484123,0.0052870833,1,3700,3700,3700,0,0,0,1
2461268.4,1.2500006,1,0.014240601,1,1,0.0097809167,1,1,0.0088064694,1,1,0.0090413746,1,3700,3700,3700,0,0,0,0
2461268.4,1.4999999,0.99309324,0.0040764859,1,0.99496949,0.0060683331,1,0.99377652,0.0045520306,1,0.99555744,0.005759855,1,3700,3700,3700,0,0,0,1
2461268.4,1.7500006,0.9852798,0.0055038482,1,0.98395058,0.0097809167,1,0.98067787,0.0082672557,1,0.98283521,0.0090413746,1,3700,3700,3700,0,0,0,1
2461268.4,1.9999999,1.0054565,0.0040764859,1.0054565,0.99416045,0.0068352863,1.0028794,0.98662812,0.0082390331,1.0019385,0.98758281,0.0073149461,1.001451,4911.5647,5152.4175,3700,0,1.4290724e+29,0,1
2461268.4,2.2500005,1.0257835,0.0049880359,1.0257835,0.99206834,0.0038703269,1.0099856,0.98465597,0.0037747851,1.0057834,0.97565075,0.0043058728,1.0039477,6332.1477,6768.0268,49999.999,2.7169454e+16,5.2781775e+29,9.6285214e+30,1
2461268.4,2.4999999,1.0831285,0.014240601,1.0831285,1.0361097,0.0075297575,1.0249076,1.0207465,0.008402089,1.0127972,1.0110564,0.0066900324,1.0081234,8161.642,8891.0231,6525.3031,1.914257e+19,1.6743772e+30,1.7645213e+30,1
2461268.4,2.7500005,1.1439416,0.011949102,1.1439416,1.0490305,0.0063357701,1.0382814,1.0099001,0.0060010446,1.0186271,1.0077639,0.0070914014,1.011441,9421.2123,10386.912,10164.484,5.3444288e+18,3.163495e+30,3.1780557e+30,1
2461268.4,2.9999998,1.178009,0.0049509141,1.178009,1.0616876,0.0051301638,1.0452558,1.0150931,0.0042993191,1.0215765,1.0111773,0.0044518268,1.0130899,10011.509,11097.1,9888.5361,7.1530141e+18,4.1372164e+30,3.8021713e+30,1
2461268.4,3.2500005,1.1818625,0.0056319066,1.1818625,1.0507818,0.0057529353,1.046028,1.0084337,0.005262357,1.0219002,0.99591445,0.0058682871,1.0132699,10074.841,11173.628,15624.214,1.9567982e+18,4.2539697e+30,6.5914734e+30,1
2461268.4,3.4999998,1.1720671,0.0040764859,1.1720671,1.0542744,0.0052993826,1.044059,1.0160377,0.0050387455,1.0210738,1.0149984,0.0050480357,1.01281,9912.6096,10977.724,9737.091,7.2639205e+18,3.9598535e+30,3.6253448e+30,1
2461268.4,3.7500004,1.1709789,0.0043871213,1.1709789,1.0564812,0.0052563962,1.043839,1.0123756,0.0045454343,1.0209812,1.0169624,0.0059731059,1.0127584,9894.3299,10955.677,9939.6336,6.7308951e+18,3.9277225e+30,3.6538107e+30,1
2461268.4,3.9999998,1.1669779,0.0040764859,1.1669779,1.0613768,0.008087704,1.0430277,1.0182975,0.0088064694,1.0206396,1.0147764,0.0076439117,1.0125678,9826.6468,10874.09,8329.9088,1.2624839e+19,3.8104999e+30,3.3124945e+30,1
2461268.4,4.2500004,1.1452349,0.0040764859,1.1452349,1.0531114,0.0061312468,1.0385516,1.0202596,0.005743095,1.0187423,1.0007435,0.0074485197,1.0115057,9444.7522,10415.127,8604.6601,9.6772043e+18,3.1985721e+30,2.9052879e+30,1
2461268.4,4.4999997,1.1210723,0.0040764859,1.1210723,1.0444049,0.0073304594,1.0334203,1.0143013,0.0063547698,1.0165389,1.0125625,0.006972203,1.010263,8986.5489,9867.6294,8378.6723,8.9449924e+18,2.5671498e+30,2.4046666e+30,1
2461268.4,4.7500004,1.1167553,0.0040764859,1.1167553,1.0557396,0.0041584286,1.0324829,1.0236016,0.003774463,1.0161327,1.0185683,0.0057772971,1.0100326,8900.0889,9764.7172,6337.1575,3.097787e+19,2.4595934e+30,2.5037576e+30,1
2461268.4,4.9999997,1.0989411,0.0048810494,1.0989411,1.0350016,0.0047727859,1.0285362,1.0073025,0.0049927551,1.0144074,1.0041246,0.004806463,1.0090493,8525.0004,9319.742,9606.0006,4.4038696e+18,2.0321759e+30,2.0794605e+30,1
2461268.4,5.2500004,1.0864435,0.0040764859,1.0864435,1.0324192,0.0047650876,1.0256795,1.0022898,0.0043200564,1.0131419,1.0084971,0.0050442584,1.0083223,8240.6358,8984.0266,9721.8401,3.6841035e+18,1.7477431e+30,1.8269592e+30,1
2461268.4,5.4999997,1.0858967,0.0040764859,1.0858967,1.0323117,0.0038703269,1.0255527,1.0064117,0.0051598517,1.0130853,1.0075592,0.0043058728,1.0082897,8227.718,8968.8099,8210.9236,6.9166385e+18,1.7355823e+30,1.7091816e+30,1
2461268.4,5.7500003,1.08163,0.0056151699,1.08163,1.029722,0.0048246632,1.0245566,1.0018513,0.0043331602,1.01264,1.0043433,0.0059958751,1.0080325,8125.3883,8848.377,10638.081,2.5840041e+18,1.6414967e+30,1.8490802e+30,1
2461268.4,5.9999996,1.075183,0.0040764859,1.075183,1.0184254,0.0044585834,1.02303,0.99831056,0.0039565371,1.0119533,0.99224702,0.0043425665,1.0076344,7965.203,8660.2193,49999.999,1.0268051e+17,1.501999e+30,3.6388713e+31,1
2461268.4,6.2500003,1.0617657,0.0040764859,1.0617657,1.0250884,0.0047667317,1.0197575,1.0038983,0.0062300455,1.010462,1.0032818,0.0043058728,1.0067633,7606.0601,8240.0356,8339.0809,4.6773962e+18,1.2216956e+30,1.2328848e+30,1
2461268.4,6.4999996,1.0673657,0.0051847134,1.0673657,1.015956,0.0038703269,1.0211405,1.0044342,0.0041927229,1.0110956,0.9932388,0.0044584728,1.0071347,7760.6814,8420.6548,22027.876,3.4597354e+17,1.3370768e+30,4.6152927e+30,1
