base,janela,oc_min,prof_ppt,sig_ppt,nsig,chi2r
poly1+massa,noite,7.0,-2.8818728594221503,0.5125800875114,-5.6222879695027785,2.7781341553286993
poly1+massa,±3.5 h,7.25,-2.4394008507988136,0.5822785211494417,-4.189405520203155,2.5406323296104705
poly1+massa,±2.5 h,5.5,-5.878390368451648,0.9697847068654314,-6.061541625520577,2.408505085925416
poly1,noite,10.0,-3.4415530496236295,0.642358159619362,-5.357685580990831,4.301316402283885
poly1,±3.5 h,-10.0,2.541404045438624,0.49193673417327555,5.166119683479541,3.0307014267094434
poly1,±2.5 h,-10.0,1.8373416451846845,0.5101489339463692,3.601578917302949,3.0213433847590285
poly2+massa,noite,6.5,-3.0893387893179405,0.5516569233255196,-5.600108797141374,2.6050281437264764
poly2+massa,±3.5 h,6.75,-2.7131892854161626,0.5548438115132536,-4.890005491844367,2.291091382176554
poly2+massa,±2.5 h,5.0,-6.762536771508086,0.9140333775011882,-7.398566549064276,2.068584960196529
poly2,noite,6.5,-3.107911094470186,0.5115414970874379,-6.075579619969074,2.774783856787677
poly2,±3.5 h,7.0,-2.439746642408982,0.5825261216050877,-4.188218436779198,2.5415551340493305
poly2,±2.5 h,5.25,-5.894789118399233,0.9817238307446772,-6.004528904969365,2.4301933769286492
poly3+massa,noite,6.0,-4.351431093296068,0.7610490260865197,-5.717675135421427,1.9993149700270132
poly3+massa,±3.5 h,6.25,-5.9502456250219735,0.9237409756580041,-6.441465499402298,1.9693932616948167
poly3+massa,±2.5 h,3.5,-3.5820329134276565,1.1189051111690689,-3.201373268782553,1.8494285792489489
poly3,noite,6.0,-3.9672896222003526,0.7861896539995528,-5.046224663499331,2.196181444618705
poly3,±3.5 h,7.25,-4.5583805413330065,0.8515471106375054,-5.353057375677547,2.123269940719695
poly3,±2.5 h,4.5,-6.664266759475521,0.9497042413473439,-7.017202271302644,2.0559490445198794
